id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
1019	zygodrup	Parkiepenmos	Zygodon rupestris Schimp. ex Lorentz	INBSYS0000000780	Mossen	5281048	Zygodon rupestris W.P.Schimper ex Lorentz, 1865	SPECIES	Orthotrichales	EXACT	Bryophyta	Plantae	Zygodon	Bryopsida	100	FALSE	ACCEPTED	Orthotrichaceae
1020	zygodv_v	Echt iepenmos	Zygodon viridissimus (Dicks.) Brid.	NHMSYS0000310582	Mossen	5281000	Zygodon viridissimus Bridel, 1826	SPECIES	Orthotrichales	EXACT	Bryophyta	Plantae	Zygodon	Bryopsida	100	FALSE	ACCEPTED	Orthotrichaceae
1021	zygodv_s	NA	Zygodon viridissimus (Dicks.) Brid. var. stirtonii (Schimp. ex Stirt.) I.Hagen	NHMSYS0000310583	Mossen	8543305	Zygodon viridissimus var. stirtonii (Stirt.) I.Hagen	VARIETY	Orthotrichales	EXACT	Bryophyta	Plantae	Zygodon	Bryopsida	100	TRUE	SYNONYM	Orthotrichaceae
1022	zygodv_v	NA	Zygodon viridissimus var. viridissimus	INBSYS0000011587	Mossen	5710502	Zygodon viridissimus var. viridissimus	VARIETY	Orthotrichales	EXACT	Bryophyta	Plantae	Zygodon	Bryopsida	98	FALSE	ACCEPTED	Orthotrichaceae
8304	thuidabi	Sparrenmos	Abietinella abietina (Hedw.) M.Fleisch.	INBSYS0000000613	Mossen	5283402	Abietinella abietina Fleischer, 1923	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Abietinella	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
8310	serpocon	Dwergkoordjesmos	Amblystegium confervoides (Brid.) Schimp.	INBSYS0000000555	Mossen	7970688	Amblystegium confervoides (Brid.) Schimp.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Amblystegium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8311	bractvel	Fluweelmos	Brachytheciastrum velutinum (Hedw.) Ignatov & Huttunen	INBSYS0000000603	Mossen	8339930	Brachytheciastrum velutinum (Hedw.) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Brachytheciastrum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8312	bractoxy	Rotsdikkopmos	Brachythecium laetum (Brid.) Schimp.	INBSYS0000000556	Mossen	2679965	Brachythecium laetum W.P.Schimper, 1853	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Brachythecium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8316	cirritom	Kalkspitsmos	Brachythecium tommasinii (Sendtn. ex Boulay) Ignatov & Huttunen	INBSYS0000000696	Mossen	7476091	Brachythecium tommasinii (Sendtn. ex Boulay) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Brachythecium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8317	hypnupra	Weideklauwtjesmos	Breidleria pratensis (W.D.J.Koch ex Spruce) Loeske	INBSYS0000000719	Mossen	4279330	Breidleria pratensis (W.D.J.Koch ex Spruce) Loeske	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Breidleria	Bryopsida	100	FALSE	ACCEPTED	Hypnaceae
