id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
37	gymns-sp	Kalkmos p.p. (G)	Gymnostomum	NBNSYS0000133546	Mossen	9202252	Gymnostomum	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	94	FALSE	ACCEPTED	Pottiaceae
38	gymnsaer	Groot kalkmos	Gymnostomum aeruginosum Sm.	NBNSYS0000036392	Mossen	4921819	Gymnostomum aeruginosum Smith, 1804	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
39	gymnscal	Klein kalkmos	Gymnostomum calcareum Nees & Hornsch.	NBNSYS0000036390	Mossen	4921807	Gymnostomum calcareum Nees & Hornschuch, 1823	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
40	gymnsvir	Stomp kalkmos	Gymnostomum viridulum Brid.	NBNSYS0000036391	Mossen	4921818	Gymnostomum viridulum Bridel, 1826	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gymnostomum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
41	gyrow-sp	Voegenmos (G)	Gyroweisia	NBNSYS0000133561	Mossen	2671850	Gyroweisia Schimp.	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Gyroweisia	Bryopsida	94	FALSE	ACCEPTED	Pottiaceae
42	gyrowten	Voegenmos	Gyroweisia tenuis (Hedw.) Schimp.	NBNSYS0000036395	Mossen	2671855	Gyroweisia tenuis W.P.Schimper, 1876	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Gyroweisia	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
43	habro-sp	Duizendpootmos (G)	Habrodon	NBNSYS0000133564	Mossen	2681314	Habrodon Schimp.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Habrodon	Bryopsida	94	FALSE	ACCEPTED	Leskeaceae
44	habroper	Duizendpootmos	Habrodon perpusillus (De Not.) Lindb.	NBNSYS0000036761	Mossen	2681316	Habrodon perpusillus Lindberg, 1863	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Habrodon	Bryopsida	100	FALSE	ACCEPTED	Leskeaceae
45	hamat-sp	Schorpioenmos p.p. (G)	Hamatocaulis	INBSYS0000000814	Mossen	2681713	Hamatocaulis Hedenäs	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Hamatocaulis	Bryopsida	94	FALSE	ACCEPTED	Amblystegiaceae
46	hamatver	Geel schorpioenmos	Hamatocaulis vernicosus (Mitt.) Hedenäs	INBSYS0000000661	Mossen	2681714	Hamatocaulis vernicosus Hedenäs, 1989	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hamatocaulis	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
47	haplo-sp	Mijtermos (G)	Haplomitrium	NBNSYS0000133639	Mossen	2689551	Haplomitrium Nees	GENUS	Calobryales	EXACT	Marchantiophyta	Plantae	Haplomitrium	Haplomitriopsida	94	FALSE	ACCEPTED	Haplomitriaceae
48	haplohoo	Mijtermos	Haplomitrium hookeri (Sm.) Nees	NBNSYS0000035761	Mossen	2689552	Haplomitrium hookeri (Lyell ex Sm.) Nees	SPECIES	Calobryales	EXACT	Marchantiophyta	Plantae	Haplomitrium	Haplomitriopsida	100	FALSE	ACCEPTED	Haplomitriaceae
49	harpa-sp	Zadelmos (G)	Harpanthus	NBNSYS0000133653	Mossen	2689019	Harpanthus Nees	GENUS	Jungermanniales	EXACT	Marchantiophyta	Plantae	Harpanthus	Jungermanniopsida	94	FALSE	ACCEPTED	Harpanthaceae
50	harpaflo	Groot zadelmos	Harpanthus flotovianus (Nees) Nees	NBNSYS0000035954	Mossen	2689020	Harpanthus flotovianus (Nees) Nees	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Harpanthus	Jungermanniopsida	100	FALSE	ACCEPTED	Harpanthaceae
51	harpascu	Klein zadelmos	Harpanthus scutatus (F.Weber & D.Mohr) Spruce	NHMSYS0000310019	Mossen	4276925	Harpanthus scutatus (F.Weber & D.Mohr) Spruce	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Harpanthus	Jungermanniopsida	100	FALSE	ACCEPTED	Harpanthaceae
52	hedwi-sp	Granietmos (G)	Hedwigia	NBNSYS0000133672	Mossen	2678729	Hedwigia P.Beauv.	GENUS	Leucodontales	EXACT	Bryophyta	Plantae	Hedwigia	Bryopsida	92	FALSE	ACCEPTED	Hedwigiaceae
53	hedwicil	Recht granietmos	Hedwigia ciliata (Hedw.) P.Beauv.	NBNSYS0000022273	Mossen	5282914	Hedwigia ciliata Palisot de Beauvois, 1805	SPECIES	Leucodontales	EXACT	Bryophyta	Plantae	Hedwigia	Bryopsida	100	FALSE	ACCEPTED	Hedwigiaceae
54	hedwiste	Stergranietmos	Hedwigia stellata Hedenäs	INBSYS0000000748	Mossen	5282911	Hedwigia stellata Hedenäs, 1994	SPECIES	Leucodontales	EXACT	Bryophyta	Plantae	Hedwigia	Bryopsida	100	FALSE	ACCEPTED	Hedwigiaceae
55	helod-sp	Schansmos (G)	Helodium	NBNSYS0000133715	Mossen	2679433	Helodium Warnst.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Helodium	Bryopsida	92	FALSE	ACCEPTED	Thuidiaceae
56	helodbla	Schansmos	Helodium blandowii (F.Weber & D.Mohr.) Warnst.	INBSYS0000000580	Mossen	5283413	Helodium blandowii Warnstorf, 1905	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Helodium	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
57	hened-sp	Ziltmos (G)	Hennediella	NBNSYS0000133751	Mossen	2670757	Hennediella Paris	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Hennediella	Bryopsida	94	FALSE	ACCEPTED	Pottiaceae
58	henedhei	Ziltmos	Hennediella heimii (Hedw.) R.H.Zander	NBNSYS0100003437	Mossen	2670762	Hennediella heimii Zander, 1993	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Hennediella	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
59	herzo-sp	Pronkmos p.p. (G)	Herzogiella	NBNSYS0000133787	Mossen	2681911	Herzogiella Broth.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Herzogiella	Bryopsida	94	FALSE	ACCEPTED	Hypnaceae
60	herzosel	Geklauwd pronkmos	Herzogiella seligeri (Brid.) Z.Iwats.	NHMSYS0000310040	Mossen	2681920	Herzogiella seligeri Iwatsuki, 1970	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Herzogiella	Bryopsida	100	FALSE	ACCEPTED	Hypnaceae
61	heter-sp	Schemermos (G)	Heterocladium	NBNSYS0000133799	Mossen	2679403	Heterocladium Bruch & Schimp.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Heterocladium	Bryopsida	94	FALSE	ACCEPTED	Thuidiaceae
62	heterfla	NA	Heterocladium flaccidum (Schimp.) A.J.E.Smith	INBSYS0000000679	Mossen	7599742	Heterocladium flaccidum (Schimp.) A.J.E.Sm.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Heterocladium	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
63	heterhet	Schemermos	Heterocladium heteropterum (Brid.) Schimp.	INBSYS0000000557	Mossen	5283411	Heterocladium heteropterum W.P.Schimper, 1852	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Heterocladium	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
64	hmlia-sp	Spatelmos (G)	Homalia	NBNSYS0000133872	Mossen	2673538	Homalia Brid.	GENUS	Leucodontales	EXACT	Bryophyta	Plantae	Homalia	Bryopsida	94	FALSE	ACCEPTED	Neckeraceae
65	hmliatri	Spatelmos	Homalia trichomanoides (Hedw.) Brid.	INBSYS0000000587	Mossen	7571728	Homalia trichomanoides (Hedw.) Brid.	SPECIES	Leucodontales	EXACT	Bryophyta	Plantae	Homalia	Bryopsida	100	TRUE	SYNONYM	Neckeraceae
66	oxystten	Beekhaartandmos	Oxystegus tenuirostris (Hook. & Taylor) A.J.E.Sm.	INBSYS0000000642	Mossen	4280535	Oxystegus tenuirostris (Hook. & Taylor) A.J.E.Sm.	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Trichostomum	Bryopsida	100	TRUE	SYNONYM	Pottiaceae
67	palla-sp	Elzenmos (G)	Pallavicinia	NBNSYS0000136020	Mossen	2932907	Pallavicinia Gray	GENUS	Pallaviciniales	EXACT	Marchantiophyta	Plantae	Pallavicinia	Jungermanniopsida	92	FALSE	ACCEPTED	Pallaviciniaceae
68	pallalye	Elzenmos	Pallavicinia lyellii (Hook.) Carruth.	NBNSYS0000036024	Mossen	5286309	Pallavicinia lyellii (Hook.) Carruth.	SPECIES	Metzgeriales	EXACT	Marchantiophyta	Plantae	Pallavicinia	Jungermanniopsida	100	FALSE	DOUBTFUL	Pallaviciniacea
69	palus-sp	Diknerfmos p.p. (G)	Palustriella	INBSYS0000000820	Mossen	2681727	Palustriella Ochyra	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Palustriella	Bryopsida	94	FALSE	ACCEPTED	Amblystegiaceae
70	paluscom	Geveerd diknerfmos s.s.	Palustriella commutata (Hedw.) Ochyra s.s.	INBSYS0000046661	Mossen	2681729	Palustriella commutata Ochyra, 1989	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Palustriella	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
71	palusfal	NA	Palustriella falcata (Hedw.) Hedenäs	INBSYS0000000602	Mossen	8105978	Palustriella falcata (Hedw.) Hedenäs	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Palustriella	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
72	paral-sp	Bezemmos (G)	Paraleucobryum	NBNSYS0000136090	Mossen	2674869	Paraleucobryum (Lindb. ex Lipmpr.) Loeske	GENUS	Dicranales	EXACT	Bryophyta	Plantae	Paraleucobryum	Bryopsida	94	FALSE	ACCEPTED	Dicranaceae
73	parallon	Bezemmos	Paraleucobryum longifolium (Hedw.) Loeske	NBNSYS0000036263	Mossen	2674871	Paraleucobryum longifolium Loeske, 1908	SPECIES	Dicranales	EXACT	Bryophyta	Plantae	Paraleucobryum	Bryopsida	100	FALSE	ACCEPTED	Dicranaceae
74	pedin-sp	Varentjesmos p.p. (G)	Pedinophyllum	NBNSYS0000136207	Mossen	8095712	Pedinophyllum (Lindb.) Lindb.	GENUS	Jungermanniales	EXACT	Marchantiophyta	Plantae	Pedinophyllum	Jungermanniopsida	94	FALSE	ACCEPTED	Plagiochilaceae
75	pedinint	Liggend varentjesmos	Pedinophyllum interruptum (Nees) Kaal.	NBNSYS0000035958	Mossen	2688975	Pedinophyllum interruptum (Nees) Kaal.	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Pedinophyllum	Jungermanniopsida	100	FALSE	ACCEPTED	Plagiochilaceae
76	pelli-sp	Plakkaatmos (G)	Pellia	NBNSYS0000042534	Mossen	9437812	Pellia Raddi	GENUS	Pelliales	EXACT	Marchantiophyta	Plantae	Pellia	Jungermanniopsida	94	FALSE	ACCEPTED	Pelliaceae
77	pelliend	Gekroesd plakkaatmos	Pellia endiviifolia (Dicks.) Dumort.	NHMSYS0000310420	Mossen	2689548	Pellia endiviifolia (Dicks.) Dumort.	SPECIES	Fossombroniales	EXACT	Marchantiophyta	Plantae	Pellia	Jungermanniopsida	100	FALSE	ACCEPTED	Pelliacaea
78	pelliepi	Gewoon plakkaatmos	Pellia epiphylla (L.) Corda	NHMSYS0000310421	Mossen	2689550	Pellia epiphylla (L.) Corda	SPECIES	Pelliales	EXACT	Marchantiophyta	Plantae	Pellia	Jungermanniopsida	100	FALSE	ACCEPTED	Pelliaceae
79	pellinee	Moerasplakkaatmos	Pellia neesiana (Gottsche) Limpr.	NHMSYS0000310423	Mossen	2689549	Pellia neesiana (Gottsche) Limpr.	SPECIES	Pelliales	EXACT	Marchantiophyta	Plantae	Pellia	Jungermanniopsida	100	FALSE	ACCEPTED	Pelliaceae
80	phaeo-sp	Hauwmos p.p. (G)	Phaeoceros	NBNSYS0000136339	Mossen	9690017	Phaeoceros Prosk.	GENUS	Notothyladales	EXACT	Anthocerotophyta	Plantae	Phaeoceros	Anthocerotopsida	94	FALSE	ACCEPTED	Notothyladaceae
81	phaeocar	Geel hauwmos	Phaeoceros carolinianus (Michx.) Prosk.	NBNSYS0000153517	Mossen	4277778	Phaeoceros carolinianus (Michx.) Prosk.	SPECIES	Notothyladales	EXACT	Anthocerotophyta	Plantae	Phaeoceros	Anthocerotopsida	100	FALSE	ACCEPTED	Notothyladaceae
82	phaeolae	Glad hauwmos	Phaeoceros laevis (L.) Prosk.	NBNSYS0000036065	Mossen	2689611	Phaeoceros laevis (L.) Prosk.	SPECIES	Notothyladales	EXACT	Anthocerotophyta	Plantae	Phaeoceros	Anthocerotopsida	100	FALSE	ACCEPTED	Notothyladaceae
83	philo-sp	Staartjesmos (G)	Philonotis	NBNSYS0000136406	Mossen	2676069	Philonotis Brid.	GENUS	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	94	FALSE	ACCEPTED	Bartramiaceae
84	philoarn	Slank staartjesmos	Philonotis arnellii Husn.	NBNSYS0000036680	Mossen	2676211	Philonotis arnellii Husnot, 1890	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	100	FALSE	ACCEPTED	Bartramiaceae
85	philocae	Klein staartjesmos	Philonotis caespitosa Jur.	NHMSYS0000310277	Mossen	4280334	Philonotis caespitosa Jur.	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	100	FALSE	ACCEPTED	Bartramiaceae
86	philocal	Groot staartjesmos	Philonotis calcarea (Bruch & Schimp.) Schimp.	NHMSYS0000310278	Mossen	2676091	Philonotis calcarea W.P.Schimper, 1856	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	100	FALSE	ACCEPTED	Bartramiaceae
87	philofon	Kwelstaartjesmos	Philonotis fontana (Hedw.) Brid.	NBNSYS0000036682	Mossen	2676100	Philonotis fontana Bridel, 1827	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	100	FALSE	ACCEPTED	Bartramiaceae
88	philomar	Kraggestaartjesmos	Philonotis marchica (Hedw.) Brid.	NBNSYS0000036679	Mossen	2676079	Philonotis marchica Bridel, 1827	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	100	FALSE	ACCEPTED	Bartramiaceae
89	philoser	Kantig staartjesmos	Philonotis seriata Mitt.	NBNSYS0000036684	Mossen	2676224	Philonotis seriata Mitten, 1859	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Philonotis	Bryopsida	100	FALSE	ACCEPTED	Bartramiaceae
90	physc-sp	Knikkertjesmos (G)	Physcomitrium	NBNSYS0000136519	Mossen	2673956	Physcomitrium Brid.	GENUS	Funariales	EXACT	Bryophyta	Plantae	Physcomitrium	Bryopsida	94	FALSE	ACCEPTED	Funariaceae
91	physceur	Eirond knikkertjesmos	Physcomitrium eurystomum Sendtn.	NBNSYS0000036519	Mossen	2673966	Physcomitrium eurystomum Sendtner, 1841	SPECIES	Funariales	EXACT	Bryophyta	Plantae	Physcomitrium	Bryopsida	100	FALSE	ACCEPTED	Funariaceae
92	acaul-sp	Knopmos (G)	Acaulon	NBNSYS0000139269	Mossen	8215221	Acaulon Müll.Hal.	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Acaulon	Bryopsida	92	FALSE	ACCEPTED	Pottiaceae
93	acaulmut	Bol knopmos	Acaulon muticum (Hedw.) Müll.Hal.	INBSYS0000000619	Mossen	5280933	Acaulon muticum (Hedw.) Müll.Hal.	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Acaulon	Bryopsida	100	FALSE	DOUBTFUL	Pottiaceae
94	acaultri	Driekantig knopmos	Acaulon triquetrum (Spruce) Müll.Hal.	INBSYS0000000704	Mossen	7639527	Acaulon triquetrum (Spruce) Müll.Hal.	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Acaulon	Bryopsida	100	FALSE	DOUBTFUL	Pottiaceae
95	aloin-sp	Aloëmos (G)	Aloina	NBNSYS0000130128	Mossen	2671379	Aloina Kindb.	GENUS	Pottiales	EXACT	Bryophyta	Plantae	Aloina	Bryopsida	94	FALSE	ACCEPTED	Pottiaceae
96	aloinalo	Gewoon aloëmos	Aloina aloides (Koch ex Schultz) Kindb.	INBSYS0000000647	Mossen	2671385	Aloina aloides Kindberg, 1883	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Aloina	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
97	aloinrig	Gezoomd aloëmos	Aloina rigida (Hedw.) Limpr.	NBNSYS0000036327	Mossen	2671383	Aloina rigida Limpricht, 1888	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Aloina	Bryopsida	100	FALSE	DOUBTFUL	Pottiaceae
98	amblo-sp	Stomptandmos (G)	Amblyodon	NBNSYS0000130168	Mossen	2675964	Amblyodon P.Beauv.	GENUS	Bryales	EXACT	Bryophyta	Plantae	Amblyodon	Bryopsida	92	FALSE	ACCEPTED	Meesiaceae
99	amblodea	Stomptandmos	Amblyodon dealbatus (Hedw.) P.Beauv.	INBSYS0000001101	Mossen	8428680	Amblyodon dealbatus (Sw. ex Hedw.) P.Beauv.	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Amblyodon	Bryopsida	100	FALSE	DOUBTFUL	Meesiaceae
100	ambly-sp	Pluisdraadmos (G)	Amblystegium	NBNSYS0000042238	Mossen	2681234	Amblystegium Schimp.	GENUS	Hypnales	EXACT	Bryophyta	Plantae	Amblystegium	Bryopsida	94	FALSE	ACCEPTED	Amblystegiaceae
101	amblyflu		Amblystegium fluviatile (Hedw.) Schimp.	INBSYS0000001089	Mossen	4279839	Amblystegium fluviatile (Hedw.) Schimp.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	TRUE	SYNONYM	Amblystegiaceae
102			Amblystegium humile (P. Beauv.) Crundw.	INBSYS0000011582	Mossen	4279794	Amblystegium humile (P.Beauv.) Crundw.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	TRUE	SYNONYM	Amblystegiaceae
103	amblyrad	Moeraspluisdraadmos	Amblystegium radicale (P.Beauv.) Schimp.	NHMSYS0000309317	Mossen	7709935	Amblystegium radicale (P.Beauv.) Schimp.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Amblystegium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
104	amblyser	Gewoon pluisdraadmos	Amblystegium serpens (Hedw.) Schimp.	INBSYS0000000624	Mossen	7797019	Amblystegium serpens W.P.Schimper, 1853	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Amblystegium	Bryopsida	100	FALSE	DOUBTFUL	Amblystegiaceae
105	amblyten		Amblystegium tenax (Hedw.) C. Jens.	INBSYS0000011583	Mossen	4279842	Amblystegium tenax (Hedw.) C.E.O.Jensen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	TRUE	SYNONYM	Amblystegiaceae
106	amblyvar		Amblystegium varium (Hedw.) Lindb.	NBNSYS0000036810	Mossen	4279777	Amblystegium varium (Hedw.) Lindb.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	TRUE	SYNONYM	Amblystegiaceae
107	amphi-sp	Druiprotsmos (G)	Amphidium	NBNSYS0000130189	Mossen	2672775	Amphidium	GENUS	Orthotrichales	EXACT	Bryophyta	Plantae	Amphidium	Bryopsida	92	FALSE	ACCEPTED	Orthotrichaceae
108	amphimou	Druiprotsmos	Amphidium mougeotii (Schimp.) Schimp.	INBSYS0000000685	Mossen	2672780	Amphidium mougeotii W.P.Schimper, 1856	SPECIES	Orthotrichales	EXACT	Bryophyta	Plantae	Amphidium	Bryopsida	100	FALSE	ACCEPTED	Orthotrichaceae
109	anast-sp	Kielmos (G)	Anastrophyllum	NBNSYS0000130232	Mossen	2689412	Anastrophyllum (Spruce) Steph.	GENUS	Jungermanniales	EXACT	Marchantiophyta	Plantae	Anastrophyllum	Jungermanniopsida	94	FALSE	ACCEPTED	Anastrophyllaceae
110	anastmin	Kielmos	Anastrophyllum minutum (Schreb.) R.M.Schust.	NHMSYS0000309329	Mossen	4277323	Anastrophyllum minutum (Schreb.) R.M.Schust.	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Sphenolobus	Jungermanniopsida	100	TRUE	SYNONYM	Anastrophyllaceae
111	andre-sp	Hunebedmos (G)	Andreaea	NBNSYS0000130245	Mossen	NA	NA	NA	NA	NONE	NA	NA	NA	NA	100	FALSE	NA	NA
112	andrerot	Generfd hunebedmos	Andreaea rothii F.Weber & D.Mohr	NHMSYS0000309335	Mossen	5283980	Andreaea rothii Weber & D.Mohr, 1807	SPECIES	Andreaeales	EXACT	Bryophyta	Plantae	Andreaea	Andreaeopsida	100	FALSE	ACCEPTED	Andreaeaceae
113	andrerup	Ongenerfd hunebedmos	Andreaea rupestris Hedw.	NBNSYS0000036110	Mossen	5283962	Andreaea rupestris Hedwig, 1801	SPECIES	Andreaeales	EXACT	Bryophyta	Plantae	Andreaea	Andreaeopsida	100	FALSE	ACCEPTED	Andreaeaceae
114	aneur-sp	Vetmos (G)	Aneura	NBNSYS0000130258	Mossen	NA	NA	NA	NA	NONE	NA	NA	NA	NA	100	FALSE	NA	NA
115	aneurmax	Groot vetmos	Aneura maxima (Schiffn.) Steph.	INBSYS0000000677	Mossen	5286385	Aneura maxima (Schiffn.) Steph.	SPECIES	Metzgeriales	EXACT	Marchantiophyta	Plantae	Aneura	Jungermanniopsida	100	FALSE	ACCEPTED	Aneuraceae
116	aneurpin	Echt vetmos	Aneura pinguis (L.) Dumort.	NHMSYS0000309344	Mossen	5286381	Aneura pinguis (L.) Dumort.	SPECIES	Metzgeriales	EXACT	Marchantiophyta	Plantae	Aneura	Jungermanniopsida	100	FALSE	ACCEPTED	Aneuraceae
117	anomb-sp	Zilverbladmos (G)	Anomobryum	NBNSYS0000130300	Mossen	2672849	Anomobryum Schimp.	GENUS	Bryales	EXACT	Bryophyta	Plantae	Anomobryum	Bryopsida	94	FALSE	ACCEPTED	Bryaceae
118	anombcoc	NA	Anomobryum concinnatum (Spruce) Lindb.	INBSYS0000000701	Mossen	4280292	Anomobryum concinnatum (Spruce) Lindb.	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Anomobryum	Bryopsida	100	FALSE	ACCEPTED	Bryaceae
119	anombjul	Slank zilverbladmos	Anomobryum julaceum (Schrad. ex P.Gaertn. et al.) Schimp.	INBSYS0000000691	Mossen	2677147	Anomobryum julaceum W.P.Schimper, 1860	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Anomobryum	Bryopsida	100	FALSE	ACCEPTED	Bryaceae
120	anomo-sp	Touwtjesmos (G)	Anomodon	NBNSYS0000130301	Mossen	NA	NA	NA	NA	NONE	NA	NA	NA	NA	100	FALSE	NA	NA
121	anomoatt	Klein touwtjesmos	Anomodon attenuatus (Hedw.) Huebener	NHMSYS0000309355	Mossen	5283419	Anomodon attenuatus Hübener, 1833	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Anomodon	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
122	anomolon	Dun touwtjesmos	Anomodon longifolius (Schleich. ex Brid.) Hartm.	INBSYS0000000688	Mossen	5283424	Anomodon longifolius C.J.Hartman, 1838	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Anomodon	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
123	anomoros	Dwergtouwtjesmos	Anomodon rostratus (Hedw.) Schimp.	INBSYS0000000625	Mossen	5283421	Anomodon rostratus W.P.Schimper, 1860	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Anomodon	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
124	anomovit	Groot touwtjesmos	Anomodon viticulosus (Hedw.) Hook. & Taylor	NHMSYS0000309356	Mossen	5283423	Anomodon viticulosus W.J.Hooker & Taylor, 1818	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Anomodon	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
125	anths-sp	Hauwmos p.p. (G)	Anthoceros	NBNSYS0000130319	Mossen	8365024	Anthoceros L.	GENUS	Anthocerotales	EXACT	Anthocerotophyta	Plantae	Anthoceros	Anthocerotopsida	94	FALSE	ACCEPTED	Anthocerotaceae
126	anthsagr	Gewoon hauwmos	Anthoceros agrestis Paton	NBNSYS0000036062	Mossen	2689592	Anthoceros agrestis Paton	SPECIES	Anthocerotales	EXACT	Anthocerotophyta	Plantae	Anthoceros	Anthocerotopsida	100	FALSE	ACCEPTED	Anthocerotaceae
127	anthscau	Gestekeld hauwmos	Anthoceros caucasicus Steph.	INBSYS0000000792	Mossen	6096604	Anthoceros caucasicus Steph.	SPECIES	Anthocerotales	EXACT	Anthocerotophyta	Plantae	Anthoceros	Anthocerotopsida	100	FALSE	ACCEPTED	Anthocerotaceae
128	anthspun	Zwart hauwmos	Anthoceros punctatus L.	NBNSYS0000036061	Mossen	2689594	Anthoceros punctatus L.	SPECIES	Anthocerotales	EXACT	Anthocerotophyta	Plantae	Anthoceros	Anthocerotopsida	100	FALSE	ACCEPTED	Anthocerotaceae
129	antit-sp	Weerhaakmos (G)	Antitrichia	NBNSYS0000130350	Mossen	2678390	Antitrichia Brid.	GENUS	Leucodontales	EXACT	Bryophyta	Plantae	Antitrichia	Bryopsida	94	FALSE	ACCEPTED	Leucodontaceae
130	antitcur	Weerhaakmos	Antitrichia curtipendula (Hedw.) Brid.	NBNSYS0000036740	Mossen	2678391	Antitrichia curtipendula Bridel, 1819	SPECIES	Leucodontales	EXACT	Bryophyta	Plantae	Antitrichia	Bryopsida	100	FALSE	ACCEPTED	Leucodontaceae
131	aphar-sp		Aphanorhegma	INBSYS0000000803	Mossen	4279039	Aphanorhegma W.S.Sullivant, 1848	GENUS	Funariales	EXACT	Bryophyta	Plantae	Aphanorhegma	Bryopsida	92	FALSE	DOUBTFUL	Funariaceae
132	apharpat		Aphanorhegma patens (Hedw.) Lindb.	NHMSYS0000309372	Mossen	4279055	Aphanorrhegma patens (Hedw.) Lindb.	SPECIES	Funariales	FUZZY	Bryophyta	Plantae	Physcomitrella	Bryopsida	92	TRUE	SYNONYM	Funariaceae
133	apome-sp	Rotsvorkje (G)	Apometzgeria	NBNSYS0000130429	Mossen	2689513	Apometzgeria Kuwah.	GENUS	Metzgeriales	EXACT	Marchantiophyta	Plantae	Apometzgeria	Jungermanniopsida	94	FALSE	ACCEPTED	Metzgeriaceae
134	apomepub	Rotsvorkje	Apometzgeria pubescens (Schrank) Kuwah.	NBNSYS0000036041	Mossen	2689514	Apometzgeria pubescens (Schrank) Kuwah.	SPECIES	Metzgeriales	EXACT	Marchantiophyta	Plantae	Metzgeria	Jungermanniopsida	100	TRUE	SYNONYM	Metzgeriaceae
135	archi-sp	Oermos (G)	Archidium	NBNSYS0000130483	Mossen	2673673	Archidium Brid.	GENUS	Archidiales	EXACT	Bryophyta	Plantae	Archidium	Bryopsida	94	FALSE	ACCEPTED	Archidiaceae
