id,scientific_name,rank,order,phylum,kingdom,genus,class,family
445,Fossombronia foveolata Lindb.,SPECIES,Fossombroniales,Marchantiophyta,Plantae,Fossombronia,Jungermanniopsida,Fossombroniaceae
446,Fossombronia incurva Lindb.,SPECIES,Fossombroniales,Marchantiophyta,Plantae,Fossombronia,Jungermanniopsida,Fossombroniaceae
447,Fossombronia pusilla (L.) Nees,SPECIES,Fossombroniales,Marchantiophyta,Plantae,Fossombronia,Jungermanniopsida,Fossombroniaceae
448,Fossombronia wondraczekii (Corda) Dumort. ex Lindb.,SPECIES,Fossombroniales,Marchantiophyta,Plantae,Fossombronia,Jungermanniopsida,Fossombroniaceae
450,Frullania dilatata (L.) Dumort.,SPECIES,Porellales,Marchantiophyta,Plantae,Frullania,Jungermanniopsida,Frullaniaceae
451,"Frullania fragilifolia (Taylor) Gottsche, Lindenb. & Nees",SPECIES,Porellales,Marchantiophyta,Plantae,Frullania,Jungermanniopsida,Frullaniaceae
452,Frullania tamarisci (L.) Dumort.,SPECIES,Porellales,Marchantiophyta,Plantae,Frullania,Jungermanniopsida,Frullaniaceae
454,"Funaria hygrometrica Hedwig, 1801",SPECIES,Funariales,Bryophyta,Plantae,Funaria,Bryopsida,Funariaceae
462,"Grimmia dissimulata E.Maier, 2002",SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
465,"Grimmia laevigata Bridel, 1826",SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
470,Grimmia orbicularis Bruch ex Wilson,SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
471,"Grimmia ovalis Lindberg, 1871",SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
472,"Grimmia pulvinata Smith, 1807",SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
