phylum,taxon_id_parent,n_hok_1980_1999,n_hok_2000_2019,n_hok_tot_1980_1999,n_hok_tot_2000_2019,ell_l,ell_n,ell_f,ell_r,ell_t,substrate,wei
Bryophyta,174,31,62,227,227,6,5,8,6,3,decaying vegetation,0.2
Bryophyta,174,31,62,227,227,6,5,8,6,3,decorticated wood,0.2
Bryophyta,174,31,62,227,227,6,5,8,6,3,"rock, hard",0.2
Bryophyta,174,31,62,227,227,6,5,8,6,3,artificial stone,0.2
Bryophyta,174,31,62,227,227,6,5,8,6,3,mineral soil,0.2
Bryophyta,175,217,223,227,227,6,6,6,6,7,decaying vegetation,0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,decorticated wood,0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,epiphytic on living wood,0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,gravel or sand,0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,"rock, hard",0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,artificial stone,0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,mineral soil,0.125
Bryophyta,175,217,223,227,227,6,6,6,6,7,soil on rock,0.125
Bryophyta,176,93,134,227,227,5,5,6,6,4,decorticated wood,1
Bryophyta,182,57,97,227,227,5,4,5,7,5,gravel or sand,0.25
Bryophyta,182,57,97,227,227,5,4,5,7,5,"rock, soft",0.25
Bryophyta,182,57,97,227,227,5,4,5,7,5,artificial stone,0.25
Bryophyta,182,57,97,227,227,5,4,5,7,5,soil on rock,0.25
Bryophyta,184,7,10,227,227,9,4,6,7,3,gravel or sand,1
Bryophyta,186,208,196,227,227,8,7,4,6,5,gravel or sand,0.16666666666666666
Bryophyta,186,208,196,227,227,8,7,4,6,5,"rock, hard",0.16666666666666666
Bryophyta,186,208,196,227,227,8,7,4,6,5,"rock, soft",0.16666666666666666
Bryophyta,186,208,196,227,227,8,7,4,6,5,artificial stone,0.16666666666666666
Bryophyta,186,208,196,227,227,8,7,4,6,5,mineral soil,0.16666666666666666
Bryophyta,186,208,196,227,227,8,7,4,6,5,soil on rock,0.16666666666666666
Bryophyta,188,4,34,227,227,8,3,5,3,5,peat,0.5
Bryophyta,188,4,34,227,227,8,3,5,3,5,mineral soil,0.5
Bryophyta,189,59,32,227,227,7,5,4,6,5,gravel or sand,0.3333333333333333
Bryophyta,189,59,32,227,227,7,5,4,6,5,artificial stone,0.3333333333333333
Bryophyta,189,59,32,227,227,7,5,4,6,5,mineral soil,0.3333333333333333
Bryophyta,191,202,213,227,227,6,4,4,7,5,decorticated wood,0.14285714285714285
Bryophyta,191,202,213,227,227,6,4,4,7,5,epiphytic on living wood,0.14285714285714285
Bryophyta,191,202,213,227,227,6,4,4,7,5,gravel or sand,0.14285714285714285
Bryophyta,191,202,213,227,227,6,4,4,7,5,"rock, hard",0.14285714285714285
Bryophyta,191,202,213,227,227,6,4,4,7,5,artificial stone,0.14285714285714285
Bryophyta,191,202,213,227,227,6,4,4,7,5,mineral soil,0.14285714285714285
Bryophyta,191,202,213,227,227,6,4,4,7,5,soil on rock,0.14285714285714285
Bryophyta,195,108,112,227,227,7,7,5,7,6,gravel or sand,0.3333333333333333
Bryophyta,195,108,112,227,227,7,7,5,7,6,mineral soil,0.3333333333333333
Bryophyta,195,108,112,227,227,7,7,5,7,6,soil on rock,0.3333333333333333
Bryophyta,200,42,25,227,227,7,6,7,7,6,gravel or sand,0.5
Bryophyta,200,42,25,227,227,7,6,7,7,6,mineral soil,0.5
Bryophyta,204,2,5,227,227,8,4,6,7,4,gravel or sand,0.5
Bryophyta,204,2,5,227,227,8,4,6,7,4,mineral soil,0.5
Bryophyta,205,31,19,227,227,8,6,6,6,6,mineral soil,1
Bryophyta,206,1,0,227,227,7,4,7,7,2,gravel or sand,1
Bryophyta,208,11,9,227,227,5,5,5,6,7,epiphytic on living wood,1
Bryophyta,211,27,23,227,227,7,4,7,6,3,gravel or sand,0.5
Bryophyta,211,27,23,227,227,7,4,7,6,3,mineral soil,0.5
Bryophyta,212,1,10,227,227,7,4,5,6,5,decaying vegetation,0.16666666666666666
Bryophyta,212,1,10,227,227,7,4,5,6,5,gravel or sand,0.16666666666666666
Bryophyta,212,1,10,227,227,7,4,5,6,5,"rock, hard",0.16666666666666666
Bryophyta,212,1,10,227,227,7,4,5,6,5,artificial stone,0.16666666666666666
Bryophyta,212,1,10,227,227,7,4,5,6,5,mineral soil,0.16666666666666666
Bryophyta,212,1,10,227,227,7,4,5,6,5,soil on rock,0.16666666666666666
Bryophyta,213,25,58,227,227,8,3,9,6,3,gravel or sand,0.5
Bryophyta,213,25,58,227,227,8,3,9,6,3,mineral soil,0.5
Bryophyta,214,9,36,227,227,6,5,3,8,6,"rock, hard",0.2
Bryophyta,214,9,36,227,227,6,5,3,8,6,"rock, soft",0.2
Bryophyta,214,9,36,227,227,6,5,3,8,6,artificial stone,0.2
Bryophyta,214,9,36,227,227,6,5,3,8,6,mineral soil,0.2
Bryophyta,214,9,36,227,227,6,5,3,8,6,soil on rock,0.2
Bryophyta,216,9,19,227,227,7,6,4,7,6,gravel or sand,0.5
Bryophyta,216,9,19,227,227,7,6,4,7,6,mineral soil,0.5
Bryophyta,220,36,31,227,227,8,5,4,5,7,mineral soil,1
Bryophyta,222,32,48,227,227,8,3,6,3,4,mineral soil,1
Bryophyta,227,18,9,227,227,8,6,4,6,5,mineral soil,1
Bryophyta,233,92,77,227,227,5,5,10,4,4,decaying vegetation,0.5
Bryophyta,233,92,77,227,227,5,5,10,4,4,mineral soil,0.5
Bryophyta,234,6,26,227,227,7,3,10,6,3,mineral soil,1
Bryophyta,237,174,197,227,227,7,4,7,7,3,gravel or sand,0.5
Bryophyta,237,174,197,227,227,7,4,7,7,3,mineral soil,0.5
Bryophyta,238,4,1,227,227,7,3,7,5,3,gravel or sand,0.5
Bryophyta,238,4,1,227,227,7,3,7,5,3,mineral soil,0.5
Bryophyta,249,5,3,227,227,8,2,2,8,4,gravel or sand,0.3333333333333333
Bryophyta,249,5,3,227,227,8,2,2,8,4,"rock, hard",0.3333333333333333
Bryophyta,249,5,3,227,227,8,2,2,8,4,mineral soil,0.3333333333333333
Bryophyta,250,1,1,227,227,8,3,9,7,2,decaying vegetation,0.3333333333333333
Bryophyta,250,1,1,227,227,8,3,9,7,2,gravel or sand,0.3333333333333333
Bryophyta,250,1,1,227,227,8,3,9,7,2,mineral soil,0.3333333333333333
Bryophyta,252,16,10,227,227,8,2,8,6,3,gravel or sand,0.5
Bryophyta,252,16,10,227,227,8,2,8,6,3,mineral soil,0.5
Bryophyta,254,4,1,227,227,2,4,5,8,3,epiphytic on living wood,0.3333333333333333
Bryophyta,254,4,1,227,227,2,4,5,8,3,"rock, hard",0.3333333333333333
Bryophyta,254,4,1,227,227,2,4,5,8,3,mineral soil,0.3333333333333333
Bryophyta,257,90,97,227,227,6,1,6,2,4,decorticated wood,0.3333333333333333
Bryophyta,257,90,97,227,227,6,1,6,2,4,peat,0.3333333333333333
Bryophyta,257,90,97,227,227,6,1,6,2,4,mineral soil,0.3333333333333333
Bryophyta,259,143,171,227,227,7,2,5,2,6,decaying vegetation,0.14285714285714285
Bryophyta,259,143,171,227,227,7,2,5,2,6,decorticated wood,0.14285714285714285
Bryophyta,259,143,171,227,227,7,2,5,2,6,gravel or sand,0.14285714285714285
Bryophyta,259,143,171,227,227,7,2,5,2,6,peat,0.14285714285714285
Bryophyta,259,143,171,227,227,7,2,5,2,6,artificial stone,0.14285714285714285
Bryophyta,259,143,171,227,227,7,2,5,2,6,mineral soil,0.14285714285714285
Bryophyta,259,143,171,227,227,7,2,5,2,6,soil on rock,0.14285714285714285
Bryophyta,261,126,138,227,227,6,2,5,2,4,decaying vegetation,0.25
Bryophyta,261,126,138,227,227,6,2,5,2,4,decorticated wood,0.25
Bryophyta,261,126,138,227,227,6,2,5,2,4,peat,0.25
Bryophyta,261,126,138,227,227,6,2,5,2,4,mineral soil,0.25
Bryophyta,283,214,215,227,227,7,3,4,5,3,decaying vegetation,0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,decorticated wood,0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,gravel or sand,0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,peat,0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,"rock, soft",0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,artificial stone,0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,mineral soil,0.125
Bryophyta,283,214,215,227,227,7,3,4,5,3,soil on rock,0.125
Bryophyta,291,1,0,227,227,7,4,8,7,7,"rock, hard",0.5
Bryophyta,291,1,0,227,227,7,4,8,7,7,artificial stone,0.5
Bryophyta,292,2,7,227,227,7,4,8,7,4,"rock, hard",0.5
Bryophyta,292,2,7,227,227,7,4,8,7,4,artificial stone,0.5
Bryophyta,293,2,2,227,227,7,4,8,7,6,"rock, hard",0.5
Bryophyta,293,2,2,227,227,7,4,8,7,6,artificial stone,0.5
Bryophyta,295,27,55,227,227,4,6,6,6,3,mineral soil,1
Bryophyta,301,51,57,227,227,7,3,7,5,3,gravel or sand,0.5
Bryophyta,301,51,57,227,227,7,3,7,5,3,mineral soil,0.5
Bryophyta,314,45,62,227,227,6,5,8,7,4,gravel or sand,0.3333333333333333
Bryophyta,314,45,62,227,227,6,5,8,7,4,artificial stone,0.3333333333333333
Bryophyta,314,45,62,227,227,6,5,8,7,4,mineral soil,0.3333333333333333
Bryophyta,318,64,164,227,227,6,5,5,6,6,epiphytic on living wood,1
Bryophyta,320,8,6,227,227,7,2,6,7,4,gravel or sand,0.14285714285714285
Bryophyta,320,8,6,227,227,7,2,6,7,4,peat,0.14285714285714285
Bryophyta,320,8,6,227,227,7,2,6,7,4,"rock, hard",0.14285714285714285
Bryophyta,320,8,6,227,227,7,2,6,7,4,"rock, soft",0.14285714285714285
Bryophyta,320,8,6,227,227,7,2,6,7,4,artificial stone,0.14285714285714285
Bryophyta,320,8,6,227,227,7,2,6,7,4,mineral soil,0.14285714285714285
Bryophyta,320,8,6,227,227,7,2,6,7,4,soil on rock,0.14285714285714285
Bryophyta,327,1,3,227,227,6,5,5,7,8,epiphytic on living wood,0.5
Bryophyta,327,1,3,227,227,6,5,5,7,8,artificial stone,0.5
Bryophyta,330,2,1,227,227,6,2,8,6,3,gravel or sand,0.3333333333333333
Bryophyta,330,2,1,227,227,6,2,8,6,3,"rock, hard",0.3333333333333333
Bryophyta,330,2,1,227,227,6,2,8,6,3,soil on rock,0.3333333333333333
Bryophyta,332,73,45,227,227,7,2,6,2,3,gravel or sand,0.3333333333333333
Bryophyta,332,73,45,227,227,7,2,6,2,3,peat,0.3333333333333333
Bryophyta,332,73,45,227,227,7,2,6,2,3,mineral soil,0.3333333333333333
Bryophyta,333,194,205,227,227,4,3,5,3,4,decorticated wood,0.2
Bryophyta,333,194,205,227,227,4,3,5,3,4,gravel or sand,0.2
Bryophyta,333,194,205,227,227,4,3,5,3,4,peat,0.2
Bryophyta,333,194,205,227,227,4,3,5,3,4,mineral soil,0.2
Bryophyta,333,194,205,227,227,4,3,5,3,4,soil on rock,0.2
Bryophyta,335,29,10,227,227,7,3,6,3,4,mineral soil,1
Bryophyta,336,65,43,227,227,7,6,6,6,3,mineral soil,1
Bryophyta,337,121,130,227,227,8,6,5,6,5,mineral soil,1
Bryophyta,339,43,49,227,227,7,4,5,7,4,gravel or sand,0.5
Bryophyta,339,43,49,227,227,7,4,5,7,4,mineral soil,0.5
Bryophyta,342,217,209,227,227,5,4,4,4,5,decaying vegetation,0.3333333333333333
Bryophyta,342,217,209,227,227,5,4,4,4,5,decorticated wood,0.3333333333333333
Bryophyta,342,217,209,227,227,5,4,4,4,5,epiphytic on living wood,0.3333333333333333
Bryophyta,346,12,6,227,227,7,2,7,5,3,mineral soil,1
Bryophyta,347,5,2,227,227,4,3,4,3,4,decorticated wood,1
Bryophyta,350,4,4,227,227,4,2,6,3,3,mineral soil,0.5
Bryophyta,350,4,4,227,227,4,2,6,3,3,soil on rock,0.5
Bryophyta,351,150,155,227,227,5,3,4,3,3,decorticated wood,0.5
Bryophyta,351,150,155,227,227,5,3,4,3,3,epiphytic on living wood,0.5
Bryophyta,352,30,21,227,227,5,2,5,3,3,peat,0.5
Bryophyta,352,30,21,227,227,5,2,5,3,3,mineral soil,0.5
